train_acc,train_loss,val_acc,val_loss
0.039115789473684215,4.3535047,0.0668,4.1030474
0.061894736842105266,4.05337,0.06920000000000001,3.9775083
0.08286315789473687,3.875152,0.0728,3.9871137
0.11101052631578948,3.6810346,0.1472,3.4544675
0.14515789473684212,3.4927905,0.16080000000000003,3.4096146
0.17825263157894738,3.3157957,0.1796,3.2628324
0.2162947368421053,3.1119702,0.25440000000000007,2.920929
0.2464421052631579,2.9513786,0.2364,3.075595
0.2700842105263158,2.8194463,0.29760000000000003,2.6813471
0.3031578947368421,2.6748931,0.3208,2.5699232
0.31856842105263156,2.5786707,0.2828,2.7700076
0.3448421052631579,2.4663715,0.36920000000000003,2.3550732
0.3613894736842106,2.3736196,0.3428,2.4223428
0.37732631578947373,2.3094695,0.36760000000000004,2.3209524
0.3975578947368421,2.2212589,0.4040000000000001,2.1539276
0.40816842105263157,2.166361,0.3832,2.2595332
0.4238947368421053,2.1082835,0.4164,2.1051989
0.44305263157894736,2.0302014,0.4328,2.067032
0.4475789473684211,1.9992647,0.39399999999999996,2.2265518
0.46103157894736846,1.9462544,0.45519999999999994,1.9492238
0.4726736842105263,1.9021667,0.43439999999999995,2.0972376
0.4789052631578947,1.8685457,0.38880000000000003,2.2419677
0.4935578947368421,1.8176662,0.4772,1.8604366
0.49717894736842105,1.7945634,0.4228,2.051059
0.5044421052631579,1.762528,0.4868,1.8389697
0.5172842105263158,1.7180338,0.496,1.8204985
0.5176421052631579,1.7091349,0.4388,2.037901
0.5325684210526317,1.6634889,0.5064,1.765269
0.5393684210526317,1.6283646,0.474,1.8696088
0.5414315789473685,1.6223822,0.47400000000000003,1.9239823
0.5500421052631579,1.5817825,0.5224,1.7305242
0.5564421052631581,1.5655967,0.4504000000000001,2.0320442
0.557221052631579,1.5495297,0.5108,1.7261071
0.5686105263157896,1.5117666,0.5084,1.7570474
0.5735789473684211,1.500869,0.4632,1.9937828
0.5791789473684211,1.4832126,0.528,1.6766809
0.5846105263157895,1.4482126,0.5104000000000001,1.7638263
0.5840210526315789,1.4566242,0.5007999999999999,1.850465
0.592842105263158,1.4127262,0.5344,1.6434942
0.5942947368421052,1.4161164,0.47120000000000006,1.965297
0.5991157894736843,1.3915975,0.5296,1.6996096
0.604757894736842,1.3576838,0.5416000000000001,1.6565506
0.6086947368421053,1.360535,0.4664,2.0255022
0.6115368421052632,1.339214,0.5536,1.5970584
0.6158736842105262,1.3200926,0.5231999999999999,1.7635213
0.6160842105263158,1.3255535,0.5059999999999999,1.8914056
0.626,1.2853279,0.5484,1.6008953
0.6264421052631579,1.2828567,0.49639999999999995,1.8863407
0.6261263157894738,1.281059,0.5551999999999999,1.611272
0.6359157894736843,1.2442507,0.5548,1.6081216
0.6346105263157895,1.2526604,0.5144,1.9291033
0.641957894736842,1.2217226,0.5648000000000001,1.5702982
0.6448421052631578,1.2115846,0.5356000000000001,1.6991574
0.6409052631578949,1.2217731,0.5248,1.794971
0.653578947368421,1.1849564,0.5771999999999999,1.5597621
0.6490315789473683,1.184651,0.5248,1.7828984
0.6510315789473684,1.1805263,0.5592,1.6220509
0.6574526315789473,1.1566598,0.5636,1.5993011
0.6574947368421054,1.1561615,0.5156,1.9175342
0.6630526315789473,1.1435531,0.574,1.5969623
0.6656,1.1260694,0.5428000000000001,1.722872
0.6656842105263159,1.1234741,0.5384,1.7496977
0.6706315789473684,1.107433,0.574,1.5636411
0.6711157894736841,1.1034753,0.5116,1.9902754
0.6757263157894737,1.0875942,0.5591999999999999,1.6408757
0.6785263157894738,1.0754296,0.5559999999999999,1.6491144
0.6732631578947368,1.0914618,0.5272000000000001,1.8607914
0.6829473684210526,1.0637786,0.58,1.5861467
0.6858526315789473,1.048857,0.5611999999999999,1.6595628
0.6831157894736842,1.0538751,0.5559999999999999,1.7449564
0.6910526315789474,1.0371051,0.5816,1.5564264
0.6909263157894737,1.0345224,0.5284,1.8982047
0.6901473684210527,1.0340446,0.5684,1.6361469
0.6973263157894737,1.0044953,0.574,1.5995815
0.695557894736842,1.0151634,0.5288,1.9208087
0.7004,0.9947861,0.584,1.5923107
0.6995157894736842,0.99102384,0.5696,1.6960235
0.7035789473684211,0.991306,0.5396,1.859975
0.7054105263157894,0.97078943,0.5884,1.5857015
0.7082736842105263,0.9659088,0.53,1.9591613
0.7066315789473684,0.97098595,0.5756,1.6395061
0.714757894736842,0.94512516,0.5824,1.609543
0.7087368421052631,0.9582581,0.5264000000000001,1.9276615
0.7147789473684211,0.942914,0.5836,1.5795888
0.7193473684210526,0.92626107,0.5516,1.798905
0.7133894736842106,0.94028103,0.5551999999999999,1.8496779
0.7197894736842104,0.91737056,0.5811999999999999,1.6238294
0.7202526315789474,0.91766393,0.5296,1.9196261
0.7228,0.9117772,0.5824,1.6402652
0.727157894736842,0.90125614,0.5828,1.6065774
0.7230736842105264,0.9046181,0.5139999999999999,2.0749612
0.7291368421052631,0.89391565,0.5916,1.6013331
0.7325894736842106,0.8756474,0.56,1.8151212
0.7309263157894738,0.88826615,0.5452,1.8845972
0.7328842105263158,0.87243205,0.5960000000000001,1.6353083
0.7326947368421053,0.87175304,0.536,1.9816346
0.7299368421052631,0.87030226,0.58,1.7149949
0.7380421052631577,0.8526371,0.5851999999999999,1.664137
0.7359578947368421,0.8548224,0.5464,1.913863
0.7400421052631578,0.8451987,0.5976,1.6066158
