train_acc,train_loss,val_acc,val_loss
0.028968421052631577,4.486555,0.04120000000000001,4.5030913
0.031726315789473686,4.4456377,0.028000000000000004,4.551256
0.030757894736842106,4.4894385,0.013200000000000003,4.6032643
0.03088421052631579,4.5312047,0.0356,4.572532
0.02926315789473684,4.56745,0.018000000000000002,4.980709
0.0276421052631579,4.5901027,0.014000000000000002,4.6052785
0.02545263157894737,4.601037,0.023200000000000002,4.6035833
0.01151578947368421,4.6050634,0.0096,4.6053386
0.00911578947368421,4.605298,0.007200000000000001,4.6053557
0.009578947368421051,4.605278,0.008400000000000001,4.6052723
0.01008421052631579,4.6052847,0.0072,4.60522
0.009494736842105262,4.605293,0.0076,4.6053524
0.01008421052631579,4.6052623,0.011600000000000001,4.605337
0.009578947368421055,4.605321,0.0064,4.605444
0.008968421052631579,4.60527,0.0108,4.6053786
0.008905263157894737,4.6052985,0.008400000000000001,4.6053004
0.009789473684210527,4.605282,0.0108,4.6053367
0.01031578947368421,4.605263,0.0104,4.6053543
0.008757894736842105,4.6053157,0.008,4.6054215
0.009157894736842104,4.6052866,0.0072,4.6054583
0.009410526315789473,4.6053076,0.0108,4.605297
0.009494736842105262,4.605292,0.011200000000000002,4.6053963
0.009410526315789475,4.6052694,0.0108,4.6052394
0.009073684210526317,4.6052856,0.0104,4.605366
0.008757894736842105,4.6053085,0.007600000000000001,4.6052446
0.009221052631578948,4.60527,0.0068,4.605327
0.009010526315789474,4.6053214,0.011200000000000002,4.6051555
0.00936842105263158,4.605299,0.011200000000000002,4.605432
0.009494736842105262,4.605301,0.0088,4.605281
0.008884210526315791,4.605327,0.008,4.6053157
0.010063157894736842,4.605283,0.012,4.6053123
0.009431578947368423,4.60531,0.0096,4.605226
0.0096,4.6052885,0.011600000000000001,4.6052723
0.00922105263157895,4.605305,0.011199999999999998,4.60542
0.0092,4.6053,0.01,4.605406
0.010526315789473684,4.605266,0.008,4.6053805
0.009663157894736842,4.605275,0.007200000000000001,4.6053452
0.00928421052631579,4.605306,0.008,4.6052938
0.008947368421052631,4.6052957,0.009600000000000001,4.6053767
0.009726315789473682,4.605312,0.009600000000000001,4.6053786
0.009263157894736843,4.6053042,0.007599999999999999,4.6053257
0.008589473684210527,4.6052976,0.008,4.6053443
0.00976842105263158,4.605304,0.011200000000000002,4.6053557
0.009873684210526316,4.60531,0.008400000000000001,4.605503
0.009747368421052633,4.605291,0.008,4.6053405
0.008905263157894737,4.6053014,0.0116,4.605293
0.009557894736842105,4.605297,0.0072,4.605405
0.008968421052631579,4.6053133,0.008,4.605299
0.009789473684210527,4.6053014,0.008,4.605397
0.00905263157894737,4.605305,0.009600000000000001,4.605291
0.009684210526315788,4.605267,0.008400000000000001,4.605333
0.009578947368421051,4.605298,0.006400000000000001,4.605369
0.009936842105263157,4.605282,0.0072,4.6053243
0.008989473684210525,4.605313,0.0092,4.605239
0.009452631578947369,4.605283,0.008,4.6053147
0.00951578947368421,4.6053095,0.0104,4.6051645
0.009389473684210526,4.6053085,0.008400000000000001,4.605369
0.009936842105263159,4.605291,0.0096,4.6055074
0.009073684210526315,4.6053085,0.011600000000000001,4.60542
0.00983157894736842,4.60528,0.0076,4.6054463
0.00911578947368421,4.6052985,0.008,4.6053405
0.008799999999999999,4.6052947,0.0108,4.605202
0.008821052631578948,4.6053095,0.011200000000000002,4.6053514
0.009600000000000001,4.605293,0.0064,4.6053014
0.009642105263157895,4.605289,0.008,4.6053925
0.009557894736842105,4.6052966,0.0068000000000000005,4.60534
