train_acc,train_loss,val_acc,val_loss
0.009600000000000001,4.609349,0.0104,4.6072426
0.009326315789473684,4.6068563,0.0092,4.6065884
0.009747368421052631,4.6062207,0.0084,4.606326
0.009621052631578947,4.6059957,0.0076,4.6067405
0.009873684210526314,4.605887,0.0076,4.6068487
0.009136842105263157,4.605854,0.008,4.6074386
0.009536842105263158,4.605796,0.007200000000000001,4.6064863
0.009600000000000001,4.605741,0.0072,4.6065044
0.00936842105263158,4.6058245,0.0076,4.606772
0.009094736842105263,4.6057224,0.007600000000000001,4.6064925
0.009094736842105263,4.6057076,0.007200000000000001,4.6067543
0.01,4.605685,0.007200000000000001,4.6068745
0.01031578947368421,4.6056886,0.0072,4.606801
0.009557894736842105,4.6057677,0.0072,4.607017
0.010400000000000001,4.6056013,0.0064,4.6071053
0.010189473684210526,4.605697,0.0064,4.6069264
0.009978947368421053,4.6056447,0.006400000000000001,4.6068482
0.009452631578947369,4.605586,0.0064,4.607062
0.00934736842105263,4.6057215,0.008,4.607042
0.010231578947368421,4.6056175,0.0072,4.6071424
0.009410526315789473,4.6057167,0.0076,4.6069574
0.009221052631578948,4.6057034,0.0096,4.606935
0.009663157894736842,4.6055264,0.0084,4.6068273
0.009157894736842104,4.6056385,0.0076,4.607099
0.00976842105263158,4.605645,0.008400000000000001,4.6067424
0.009431578947368423,4.605592,0.0068,4.6069403
0.008399999999999998,4.6056695,0.009200000000000002,4.6064043
0.009684210526315788,4.6055827,0.0092,4.606703
0.009431578947368423,4.6056137,0.0072,4.606862
0.009094736842105263,4.605665,0.0072,4.6067686
0.009347368421052632,4.6055913,0.012,4.607084
0.010168421052631578,4.6056404,0.012000000000000002,4.606698
0.009789473684210527,4.605564,0.0072,4.606727
0.009726315789473684,4.6055994,0.007200000000000001,4.6067624
0.010147368421052632,4.6056027,0.0072,4.6072316
0.009663157894736842,4.6055017,0.007200000000000001,4.607208
0.009536842105263158,4.6055427,0.0072,4.6073036
0.009557894736842105,4.605569,0.0072,4.6073112
0.009578947368421055,4.605539,0.0072,4.607261
0.009873684210526316,4.605583,0.0072,4.607235
0.009473684210526316,4.6055603,0.0072,4.607227
0.009873684210526316,4.6055665,0.008,4.6071243
0.008799999999999999,4.60561,0.008,4.6071615
0.009515789473684212,4.6055017,0.0076,4.6073527
0.009600000000000001,4.605566,0.008,4.607146
0.00983157894736842,4.605513,0.006400000000000001,4.6069303
0.010000000000000002,4.605515,0.0064,4.6070104
0.00951578947368421,4.6055727,0.0064,4.6068482
0.009494736842105262,4.6054883,0.0064,4.607077
0.009178947368421054,4.605498,0.008,4.606887
0.009410526315789475,4.6055565,0.008,4.606883
0.01031578947368421,4.6054635,0.008,4.606933
0.009515789473684212,4.605491,0.0064,4.606695
0.009431578947368423,4.6055408,0.01,4.6066027
0.00873684210526316,4.60546,0.009600000000000001,4.6065917
0.008757894736842105,4.605546,0.008,4.606377
0.009957894736842107,4.605529,0.0064,4.606895
0.009789473684210527,4.605443,0.0096,4.607162
0.009557894736842107,4.6055174,0.0076,4.6074243
0.010273684210526317,4.6054583,0.0076,4.607457
0.00934736842105263,4.6054716,0.0088,4.607186
0.01,4.6055017,0.007200000000000001,4.607064
0.009978947368421053,4.605502,0.0072,4.6070876
0.009621052631578949,4.605499,0.007200000000000001,4.6070127
0.009073684210526317,4.6054616,0.0072,4.6070704
0.00951578947368421,4.6054463,0.009600000000000001,4.606983
0.00936842105263158,4.605501,0.0076,4.6070447
0.00936842105263158,4.6054482,0.0084,4.60705
0.009031578947368422,4.605509,0.0076,4.60697
0.009831578947368422,4.6054835,0.006400000000000001,4.607027
0.009642105263157895,4.6054173,0.0084,4.6071
0.009473684210526316,4.6054716,0.0072,4.6070585
0.009578947368421055,4.6054482,0.0076,4.6071415
0.009873684210526316,4.6054254,0.0076,4.6071644
0.00934736842105263,4.6054635,0.006400000000000001,4.607224
0.009684210526315788,4.6055284,0.0076,4.6072555
0.00985263157894737,4.605461,0.0072,4.6071973
0.009894736842105262,4.6054482,0.008400000000000001,4.6070957
0.01,4.6054163,0.008,4.6069484
0.009747368421052631,4.605474,0.008,4.607039
0.009915789473684213,4.6054363,0.008,4.607151
0.009957894736842107,4.6054473,0.007200000000000001,4.6070976
0.009410526315789475,4.6054883,0.0072,4.6068153
0.009873684210526316,4.6053987,0.0072,4.6066966
0.009663157894736842,4.605456,0.0104,4.6069217
0.009557894736842105,4.6054573,0.0104,4.606859
0.0092,4.605404,0.0076,4.60697
0.009242105263157895,4.6054544,0.0076,4.606982
0.009810526315789474,4.6054807,0.0092,4.607139
0.009600000000000001,4.6054597,0.0068000000000000005,4.6070986
0.00951578947368421,4.605451,0.008400000000000001,4.6069527
0.00983157894736842,4.6054244,0.009600000000000001,4.6069746
0.010273684210526315,4.605451,0.007200000000000001,4.6069217
0.01023157894736842,4.6054387,0.0072,4.606686
0.009978947368421053,4.6053886,0.0064,4.606539
0.010189473684210526,4.605486,0.006400000000000001,4.6067095
0.009221052631578948,4.605449,0.006400000000000001,4.606934
0.009578947368421055,4.605444,0.008,4.6069126
0.009578947368421051,4.6054726,0.0076,4.6068954
0.009557894736842105,4.6054206,0.0064,4.607251
